time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1762766820005000000,7534.629,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762766822009000000,7536.633,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762766824013000000,7538.637,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762766896115000000,7610.739,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762767096316000000,7810.94,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762767296471000000,8011.095,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762767496670000000,8211.294000244141,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762767696815000000,8411.439,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762767896926000000,8611.55000024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762768097121000000,8811.745,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762768297319000000,9011.943,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762768497506000000,9212.12999975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762768697715000000,9412.339,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762768897933000000,9612.557,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762769098038000000,9812.66200024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762769298237000000,10012.861,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762769498431000000,10213.055,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762769698597000000,10413.221,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762769898781000000,10613.405,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762770098898000000,10813.52199975586,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762770298981000000,11013.605,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762770499207000000,11213.831,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
1762770699406000000,11414.03000024414,wifi,True,True,,False,HomeNetwork_5G,81:60:c8:59:c2:db,,192.168.64.66,,,
