time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1762759274643299000,-10.732700927734374,65.14358806724222,-1.0,-1.0,41.90367421257155,17.55358791465433,-1.0,4.874357939112805,30.0,12.479276163132774,-1.0
1762759286527123000,1.151123046875,65.14358806724222,-1.0,-1.0,41.90367419137688,17.55358791465433,-1.0,6.431464482056186,30.0,12.479275688294592,-1.0
1762759418582080800,133.2060808105469,65.14358806724222,-1.0,-1.0,41.903674097133475,17.55358791465433,-1.0,4.612369036683316,30.0,12.479273530196426,-1.0
1762759568627908900,283.25190893554685,65.14358806724222,-1.0,-1.0,41.90367406640807,17.55358791465433,-1.0,3.709477980578576,30.0,12.479272824391437,-1.0
1762760168823431000,883.4474309082032,65.14358806724222,-1.0,-1.0,41.9036740784253,17.55358791465433,-1.0,2.482494846164905,30.0,12.479272144330135,-1.0
1762760787211121700,1501.8351215820312,65.70872004911611,-1.0,-1.0,41.903674142854605,18.11871989652822,-1.0,2.051493923346562,118.05123138427734,12.479272022054776,-1.0
1762761415291451000,2129.9154509277346,65.14358806724222,-1.0,-1.0,41.90367399602756,17.55358791465433,-1.0,21.14609285110702,30.0,12.479271959769674,-1.0
1762761653141629000,2367.76562890625,65.14358806724222,-1.0,-1.0,41.90367402103772,17.55358791465433,-1.0,8.069825488703362,30.0,12.479271571594971,-1.0
1762761823496940000,2538.120939941406,65.14358806724222,-1.0,-1.0,41.903674008143575,17.55358791465433,-1.0,48.58470498378908,30.0,12.479271571313662,-1.0
1762762030497394200,2745.1213942871095,65.14358806724222,-1.0,-1.0,41.90367401350795,17.55358791465433,-1.0,7.471883240662989,30.0,12.479271570752374,-1.0
1762762215684200000,2930.308199951172,65.14358806724222,-1.0,-1.0,41.90367401585356,17.55358791465433,-1.0,6.372419758888008,30.0,12.479271570532688,-1.0
1762762380503455200,3095.1274553222656,65.14358806724222,-1.0,-1.0,41.90367400761257,17.55358791465433,-1.0,14.719877714153354,30.0,12.479271571301998,-1.0
1762762535491309300,3250.115309326172,65.14358810335398,1.9168605550647624,-1.0,41.90367400807923,17.553587950766087,-1.0,6.611460884119639,75.18654504222103,12.47927157125838,0.0
1762762549988274700,3264.612274658203,64.2608868284151,1.0386050644128026,-1.0,41.90367801103371,16.670886675827205,-1.0,5.314546389455595,4.06532891640682,12.47928991662038,0.0343218553225353
1762762559988243000,3274.6122429199218,64.22241540346295,1.045102334291352,-1.0,41.90367987859986,16.632415250875056,-1.0,5.136396176365932,5.292344897714808,12.479294726910313,0.1155209871290947
1762762569988210200,3284.612210205078,64.28630200307816,2.1317362797767623,180.0,41.903691010122536,16.696301850490272,117.19335985351348,14.104992523336412,3.765259438574556,12.479469407799312,0.9294858764401795
1762762579988178200,3294.6121782226564,64.10386796668172,1.92538863599172,-1.0,41.90366757017731,16.513867814093828,-1.0,8.339227842232539,3.157034929788227,12.479446957159206,0.6201406968967911
1762762589988145700,3304.612145751953,64.09412042889744,2.1917578134312654,-1.0,41.90370083772285,16.50412027630955,-1.0,10.032839567006617,3.2178835216336465,12.479451287025489,0.3862991303971768
1762762599988113000,3314.6121127929687,64.07413948699832,1.6833416105606311,-1.0,41.90368885528891,16.48413933441043,-1.0,13.29648105377284,3.936574524617999,12.479426350310442,0.0460505645873049
1762762609988081000,3324.612080810547,64.18787635862827,1.9089889650800136,-1.0,41.90370469404347,16.597876206040382,-1.0,10.5215996851271,3.6975932280328903,12.479495176574336,0.720815214693195
1762762619988048600,3334.612048583984,64.28127766214311,1.5423059449215049,-1.0,41.90366545766409,16.69127750955522,-1.0,12.510628978067048,3.9631448715235633,12.47947360431346,0.0392068967002642
1762762629988015600,3344.612015625,64.66639523860067,1.9837486344018969,-1.0,41.90368129820519,17.07639508601278,-1.0,6.757184006141129,4.5416406661816096,12.47944353079938,0.7562629834769906
